               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12783,            0.086508,            0.055557,           0.0016779,            0.039474,           0.0015229,           0.0002232,              0.1317,            0.052267,            0.058921,              0.0955,              0.0005,              0.0005
                   1,             0.12184,            0.097762,            0.055008,           0.0020294,            0.033073,           0.0018468,          0.00069412,             0.12336,            0.057982,             0.05606,            0.090098,           0.0010978,           0.0010978
                   2,             0.11577,             0.10126,            0.053864,           0.0025167,            0.039829,           0.0021383,          0.00076223,             0.11791,            0.062197,            0.053734,            0.084693,           0.0016933,           0.0016933
                   3,             0.11123,             0.12318,            0.052478,           0.0024801,            0.032106,           0.0017975,           0.0006029,             0.11248,            0.065998,            0.051569,            0.079286,           0.0022863,           0.0022863
                   4,             0.10659,             0.12039,            0.051931,           0.0044194,            0.056489,           0.0031146,          0.00094727,             0.10586,            0.072446,            0.048773,            0.073877,            0.002877,            0.002877
                   5,             0.10405,             0.11642,             0.04891,             0.00828,             0.16647,            0.015488,            0.003974,            0.099847,            0.079058,            0.046202,            0.068465,           0.0034654,           0.0034654
                   6,              0.1006,             0.12188,            0.048088,            0.027514,            0.075229,            0.023267,           0.0047454,            0.094909,            0.084147,             0.04299,            0.063051,           0.0040513,           0.0040513
                   7,            0.096268,             0.10669,            0.044704,            0.037521,             0.11774,            0.039428,           0.0092669,             0.09234,            0.088804,             0.03992,            0.057635,           0.0046349,           0.0046349
                   8,             0.09363,             0.10825,            0.042992,            0.046591,             0.28853,              0.0533,            0.011736,            0.090958,            0.091069,            0.036894,            0.052216,            0.005216,            0.005216
                   9,            0.093487,             0.11121,            0.042532,             0.05953,             0.13903,            0.059923,            0.015679,            0.090951,            0.096635,            0.036812,            0.046795,           0.0057949,           0.0057949
                  10,            0.093347,             0.10369,            0.037436,             0.60518,             0.10987,            0.093172,            0.027277,            0.085999,            0.096088,              0.0356,            0.041371,           0.0063713,           0.0063713
                  11,            0.089907,            0.097859,             0.03828,             0.07288,             0.28513,            0.079879,            0.017778,            0.094782,            0.076205,            0.033123,            0.035945,           0.0069454,           0.0069454
                  12,            0.091757,            0.095209,            0.036506,             0.12467,             0.39554,             0.12503,            0.038335,            0.087855,              0.0685,            0.029332,            0.030517,            0.007517,            0.007517
                  13,            0.093411,            0.091183,            0.034092,            0.094405,             0.23275,             0.09945,            0.023374,              0.0934,            0.061067,             0.02568,            0.025086,           0.0080864,           0.0080864
                  14,            0.092223,            0.092754,            0.033232,              0.3909,             0.31655,             0.24468,             0.05866,            0.093491,            0.068058,            0.023888,            0.019653,           0.0086533,           0.0086533
                  15,             0.09045,            0.092593,            0.029742,             0.35111,             0.45556,             0.31342,             0.10325,            0.082972,            0.063548,             0.02114,            0.014218,           0.0092178,           0.0092178
                  16,            0.090381,             0.08873,            0.030079,            0.056703,             0.29098,            0.034954,           0.0068944,             0.10134,            0.064189,            0.020165,           0.0096832,           0.0096832,           0.0096832
                  17,            0.089877,            0.084906,            0.028687,             0.10435,             0.46904,             0.23682,            0.081024,            0.092985,            0.064257,            0.017346,           0.0096832,           0.0096832,           0.0096832
                  18,            0.091607,            0.086123,            0.027377,             0.23298,             0.37454,             0.25974,            0.077228,            0.090164,            0.055241,            0.016765,           0.0096634,           0.0096634,           0.0096634
                  19,            0.092246,            0.082961,            0.025788,             0.25728,             0.51078,             0.28967,            0.071603,            0.083705,            0.056475,            0.015565,           0.0096436,           0.0096436,           0.0096436
                  20,             0.08079,            0.095731,            0.023935,             0.44075,             0.47622,             0.43366,              0.1316,            0.087823,            0.077885,            0.014245,           0.0096238,           0.0096238,           0.0096238
                  21,            0.081166,            0.090443,            0.023825,             0.54213,             0.36966,             0.42509,             0.14237,            0.083725,            0.063168,            0.012035,            0.009604,            0.009604,            0.009604
                  22,            0.081841,            0.084983,            0.023044,             0.37053,             0.38628,             0.33326,            0.099011,            0.081611,            0.063562,            0.012016,           0.0095842,           0.0095842,           0.0095842
                  23,            0.082088,            0.089209,            0.023112,             0.30963,             0.43142,             0.35032,            0.096074,            0.075151,            0.075882,            0.010469,           0.0095644,           0.0095644,           0.0095644
                  24,            0.077915,            0.079772,             0.02116,             0.33626,             0.49282,             0.36601,             0.14388,            0.079127,            0.064753,           0.0098428,           0.0095446,           0.0095446,           0.0095446
                  25,             0.07916,            0.079199,            0.020715,             0.58786,             0.48203,             0.49788,             0.22016,            0.074778,            0.087702,           0.0095009,           0.0095248,           0.0095248,           0.0095248
                  26,            0.075054,            0.080566,            0.020456,              0.5849,             0.37079,              0.3885,              0.1399,            0.077784,            0.071541,           0.0096403,            0.009505,            0.009505,            0.009505
                  27,            0.084702,            0.075873,              0.0192,             0.30052,             0.66384,             0.42395,             0.16252,            0.065638,            0.058506,           0.0099387,           0.0094852,           0.0094852,           0.0094852
                  28,            0.075277,            0.081141,            0.020368,             0.27197,             0.60678,             0.40545,             0.15679,            0.075253,            0.085581,           0.0092218,           0.0094654,           0.0094654,           0.0094654
                  29,            0.074893,            0.083462,            0.017949,             0.35832,             0.68294,              0.4681,             0.19725,            0.076476,            0.063154,            0.008631,           0.0094456,           0.0094456,           0.0094456
                  30,            0.075659,            0.087325,            0.018322,             0.60753,             0.61497,             0.69754,              0.2512,            0.067852,             0.06148,           0.0082072,           0.0094258,           0.0094258,           0.0094258
                  31,            0.072119,             0.07642,            0.016954,             0.49581,             0.58683,             0.54639,              0.2212,            0.068079,            0.077668,           0.0074662,            0.009406,            0.009406,            0.009406
